"","BlueV","GreenV","RedV","RedEdge1V","RedEdge2V","RedEdge3V","NIRV","NIR2V","SWIR1V","SWIR2V","BlueP","GreenP","RedP","RedEdge1P","RedEdge2P","RedEdge3P","NIRP","NIR2P","SWIR1P","SWIR2P","BlueO","GreenO","RedO","RedEdge1O","RedEdge2O","RedEdge3O","NIRO","NIR2O","SWIR1O","SWIR2O","Class_Id"
"243",871.5,775.75,601,882.5,1643.75,1945.75,1874.5,2138.75,1442.25,708,853,720.75,501.75,802.5,1763,2029.5,1994.25,2193,1403,733.75,963,754.5,510.5,786.25,1842.5,2093.5,2076.75,2334.75,1425.75,708.5,5
"244",912.75,842.5,689.5,973,1721.25,2047.75,1937.25,2234.5,1428.75,741,902.25,796.25,609,902.5,1824.5,2063.75,2033.5,2258.25,1527.75,881.75,1010.75,826.75,598.75,915.25,2163.5,2534.75,2430,2738,1485.25,782.75,5
"245",838.25,740,548.25,809.25,1536.5,1778.25,1730.5,1970.25,1165.5,541.25,823.5,678.5,459.5,745,1627,1866.25,1861.25,2056.5,1179,585,887.5,630,388.75,501.5,1035,1222.75,1207.25,1203.5,526.5,264.25,5
"246",826.75,715.25,528.25,770.5,1467.75,1732.25,1634.75,1889.75,1063.25,501.75,802.75,635.75,411.5,643.25,1545.25,1807,1756.25,1934.75,1015.5,496.25,851.5,544.5,314,352.25,649,687.5,648,679.25,261.75,115.75,5
"247",829.5,721.25,513.75,759,1494.5,1754.75,1700,1925.75,1017.5,457,795.25,625,402,636.5,1405.5,1597.75,1559,1714.5,893,448,863.75,563.25,325.75,400.25,749.25,842.5,769,840.25,301.5,132.75,5
"248",879.5,786.75,635.75,886.5,1531.5,1777.5,1686.75,1944.5,1273.5,652.75,824,675.25,466,702.5,1426,1678.5,1598.5,1750.75,1160,612,956,721.5,490.75,706,1510.25,1701.25,1625,1848.5,1026.75,548.5,5
"249",900.5,791,675,875,1371.25,1577.5,1524.75,1783.25,1416.5,779.5,868.25,722.75,525.5,791.75,1593,1844.75,1833,1974.5,1378.75,766.75,984.75,740.5,531,747.75,1499.75,1759.25,1668.75,1848.25,1267.75,699.5,5
"250",845.25,732,581.25,809,1335.25,1534,1491.25,1708,1215,606.75,788.5,619.25,395.25,622.75,1437.5,1683.25,1631,1808,976.75,482.75,885,603.75,383,490.25,897.25,963.25,945.5,1032.75,725.5,365.5,5
"251",865.5,771,603,901,1575.5,1836,1777.5,2043.75,1395.75,661.75,834.75,694,465.75,765.75,1721.75,2021.75,1972.25,2182.75,1275.75,633.75,948,706,472,702.25,1490.5,1728.5,1671.25,1823.75,1156,599,5
"252",1491,1679,2234.5,2359.75,2666.5,2988.25,2902,3352.25,3780.5,2512.25,894.5,842.75,479,949.25,3166.5,4076,4036.75,4338.75,1379.75,623.75,1162,1002.25,1007.25,1163.75,1380.25,1531.5,1518.5,1647.5,2012,1315.75,6
"253",1652.75,1916.5,2609.5,2751,3087.5,3440,3353.25,3842,4079.75,2513.5,945.5,966.75,619.25,1178.5,3206,3880.25,3800.25,4106.25,1695.5,801.5,1257.75,1201.25,1299.75,1417,1539.25,1649.75,1585.5,1738.75,2043.75,1419.25,6
"254",1540.25,1802,2558.25,2739.25,3055,3420.25,3319,3846.75,3844,2345.5,919.75,982.25,536.25,1227.25,3398,4065.25,4025.5,4247.75,1670.25,753.75,1126,943.25,994.75,1074,1167.5,1262,1264.75,1353.75,1656,1204.5,6
"255",1561.25,1822.5,2519,2666.25,2968.5,3304.75,3186.25,3642.5,3848.5,2543.5,870,856,544.5,1025.5,2721.25,3287.75,3258.75,3466.5,1430.5,675.75,1042.75,872,924,986.25,1072.25,1153.75,1138.5,1225.5,1555,1102,6
"256",1643,1907,2607.75,2729.25,3043.75,3374.75,3297.5,3752,3819.75,2515.5,863.25,829.25,450.5,936.5,3478.75,4749.5,4656.75,4978.25,1521.5,672.5,1143.75,994,989.25,1173,1402.5,1511.75,1496.5,1640.5,1868,1174.25,6
"257",1634.25,1857,2368.25,2464.25,2699.25,2974.5,2884.75,3236.25,3488.75,2373.25,917.75,912.25,547,1038.5,3170.5,3976.75,3891.25,4211.25,1646.5,755.75,1296.5,1184.5,1312.5,1436,1557.75,1672.75,1642.5,1806.5,2287,1616,6
"258",2013.75,2421.75,3425.75,3603,3962.75,4409.75,4277.75,4920.25,4712,2971.75,823.5,733.75,412.5,783,2856.5,4005,4017.5,4324.75,1168.5,492.25,1213.25,1062.75,1158.5,1289.5,1415,1535.75,1531.75,1661.75,2317.5,1656.25,6
"259",1682.25,1880.25,2446,2566,2806.75,3089.75,3001,3450.25,3970.25,2814,967,963.25,677.5,1227.75,3028.75,3670.75,3628.25,3918.75,1891.75,965.75,1132.75,918.75,935.25,1019.5,1117,1214,1239.25,1361,1956.5,1378,6
"260",1797,2140.25,3036.25,3211.75,3500.25,3884.25,3776,4323.25,4172.75,2578.25,854,828.25,417.75,981,3780,4774.25,4699,4975.25,1440.5,565,1120.5,913,930.5,991.25,1084.75,1149,1158.25,1269.5,1767.25,1178.25,6
"261",1698.5,2027.5,2891.75,3064.5,3401.5,3754.75,3677,4239,4162.75,2524.5,818.75,747.25,402.25,854.75,2778,3504.75,3465,3699,1217.25,528.5,1118.25,986.5,943.5,1189.25,1563.75,1701.75,1699.25,1855.25,1954.25,1265.25,6
"262",1202.25,1265,1561.75,1616.25,1775.25,1931.75,1817.25,2080.5,2129.25,1613,881.5,863.75,492,1038,3249.5,4039.25,3959.25,4172.75,1486.25,667.25,1034,873.75,929,1002.25,1106.25,1178.25,1119,1166,1164.25,867,6
"263",1675,1948,2687.25,2838.75,3124.5,3473,3368.75,3858.75,4132.5,2721,903.5,920.5,489.25,1156,3643.75,4602,4520,4787,1557.75,653.75,1060.5,882.25,867.5,1036,1273.75,1366,1362.25,1486.75,1698.75,1083.75,6
"264",1583.5,1816,2496,2658,2934.75,3255.5,3175.5,3681.25,3815.75,2366.5,920.5,946,572,1231.5,3307.25,3999.5,3940,4205.75,1710.25,778.75,1149.75,974.5,1021.25,1146.75,1368.5,1476.75,1473.5,1597.5,1764.75,1168.25,6
"265",1878.25,2299.75,3328.5,3530.5,3856.25,4287,4195,4816.5,4623.75,2802.25,808.5,721.5,379.25,814,3272.75,4645,4636.75,4980.75,1140.75,467.25,1168.75,1047,1261.5,1375.25,1510,1645.75,1667.25,1831.75,2373,1843.25,6
"266",1386.25,1525.5,2034.5,2127,2355.75,2590.25,2499,2855.5,3035.25,2064.75,861.25,828.25,495,1044.5,3019,3563.5,3561.25,3724.5,1459,702.75,1043.75,851,839.5,943,1054.25,1123.75,1110.5,1188,1358.75,956.5,6
"267",1672.5,1923.5,2656.5,2805,3067,3402.25,3312,3809.25,3858.75,2441.5,828.5,715.5,385.25,729.75,2983.5,4360.5,4255.75,4631.75,1190,474.75,1159.25,1014,1081.5,1174,1277.25,1359.75,1309.5,1423.75,1813.75,1234.25,6
"268",1135.5,1187.5,1461,1529.5,1674,1847.25,1747.25,1992,2521,1691.25,871,835.25,514.25,1037,2909.5,3562.5,3515,3826.5,1579,739.75,1073.75,928.5,912.5,1063.5,1280.75,1352.25,1269.75,1371.5,1489.5,915.75,6
"269",1485.5,1679.5,2302.5,2416.5,2644.75,2944,2851,3279.5,3527.25,2214.75,874.75,835.75,520.25,990,2653.5,3243,3165.25,3413.5,1417.5,687.75,1110.25,984.25,1054,1185,1322.5,1402.5,1349,1473.25,1796.75,1184.5,6
"270",1632,1907.5,2572,2723,3045,3361.5,3229.25,3666.5,3791.75,2403.75,878.75,796.5,552.25,924,2752.5,3827,3763.25,4086.25,1384.5,628.25,1379,1346.5,1502.5,1681.25,1938.75,2092,1999,2144.5,2789.25,2006.5,6
"271",1165,1313,1592.75,1650.5,1803.5,1974.75,1822.75,2021,2659.5,1785.75,847.5,782.5,441.25,849.75,2915.5,3933,3869.5,4158.75,1384.25,597.75,1020,875,856,924.25,1030,1075.25,992.75,1058.75,1271.25,751.75,6
"272",1322.75,1469.25,1947.75,2099,2356,2628.75,2557.25,2945.75,3272,2041.75,813.5,715.75,397.25,793,3093.25,4306.25,4234.5,4543.75,1341.25,568,1044.5,917.75,895,1027.25,1197,1270.75,1222.75,1284.5,1566.5,977,6
"273",1915,2287.25,3161,3323.25,3749.5,4152,4068,4684.25,4565.5,2839.5,884.25,808,480.5,880.75,3097.25,4126,4083.5,4387,1359.25,592.5,1398.25,1296.25,1423.25,1637.75,2148.75,2374,2404.25,2621,2851.5,1943.25,6
"274",1898.25,2284,3241.75,3407,3814.5,4255.5,4151.25,4756,4870,3068.25,903.75,914.25,500.25,1087.25,3504,4454.5,4375,4717.5,1644.25,697.75,1349.75,1267.75,1494,1661.75,1886.25,2072.25,2069.75,2283,3181.75,2322,6
"275",1807.75,2163,3113.25,3295.25,3722.75,4149.75,4086.5,4726,4441.75,2661.75,884.75,798.25,462,846.5,3089.5,4184,4105.75,4428.75,1336.5,590.25,1325.5,1205.75,1286,1514,2037,2248.75,2237.75,2463,2568.25,1721.5,6
"276",1487.25,1672.25,2276.25,2440,2759,3109.25,3035.5,3528.5,3603.25,2197,903.5,877.75,467.5,1047.75,3632.25,4766,4680.75,5025.5,1487.25,612.75,1172.75,1036.5,1060.75,1142,1246.5,1307,1277.25,1379.75,1465.25,945,6
"277",1581.5,1852.5,2651.5,2832,3245.25,3635.5,3579.75,4145,4099.25,2365,891.25,866,474.75,996.75,3425.5,4450.5,4345.5,4684,1677.5,759,1187,1049.5,1043,1235.75,1601,1786.75,1709.25,1877.5,2098,1481.25,6
"278",1813,2177.75,3117.25,3294.75,3657.75,4080.25,3962.75,4545.75,4407.25,2626.25,905.25,935.75,487.75,1120,3607.75,4500.5,4434.5,4780.25,1708.25,754.25,1300.75,1195,1341,1467.5,1588.75,1720,1688,1849.25,2381.5,1758.75,6
"279",1483.25,1664.5,2253,2400,2692,3024.25,2961,3417.5,3807.5,2406,892.75,848,482,991.25,3283.75,4180.5,4075.5,4406.75,1295.75,560.25,1117,1004.25,911.25,1122.5,1418.25,1523.25,1487.5,1559.75,1436,938.25,6
"280",1865.5,2248.25,3205.5,3382.5,3705.75,4128.25,4026.75,4607.75,4435.75,2744.5,849,793,440.75,897.25,3043.75,4116.75,4081,4341.75,1238,514,1136.25,1013,1085,1162.25,1237,1320.5,1280.5,1386,1691.25,1181,6
"281",1444,1627.75,2222.25,2377.75,2701,3027.25,2946,3412.25,3466,2066,840,733.25,389.5,768.75,3107.75,4223.5,4125.25,4400.25,1193.25,467.25,1152.75,971.5,966,1060.25,1234.5,1337,1287.25,1427.5,1469.25,998.75,6
"282",1655.5,1947.25,2715.5,2867.25,3146,3517.5,3367.5,3865.25,3744,2294.25,923.25,928,599.75,1163.5,3103,3793.25,3693.75,3929.75,1544,703.5,1184.25,1065.75,1169.25,1271.5,1369,1443.25,1413,1486.25,1602,993,6
"283",1520.25,1759,2385.5,2540.25,2819.25,3165.75,3100.75,3518.5,3652.25,2427.5,858.75,824,506,1017.5,3064.25,3863.5,3878,4066,1592.25,749.75,1137.75,1030.75,1062.5,1265.25,1621.5,1732.25,1729,1869,1929.5,1270.25,6
"284",1274.25,1391.75,1650.5,1719,1894.5,2084.75,1948.75,2242.75,2707,2001.5,820.5,734.75,394,811.5,3037.5,4125.5,4022.75,4303.75,1308,545.5,1063.25,923.75,939.25,1023,1095.25,1160.75,1136.5,1212.25,1454.5,912.75,6
"285",1831.25,2242.75,3229.5,3448.25,3820.75,4248,4156.75,4767.5,4469,2730,889.5,873.25,507.5,1038.75,3171,3901.25,3814,4060,1567.75,690,1617,1563.25,1857.75,2002.5,2175.25,2316.5,2324.75,2505.75,3264.25,2357.5,6
"286",1360,1567.25,2154.25,2462.25,3045.25,3494,3466,4083.25,3481.75,1976.5,851.75,817.25,432,972,3440.75,4543.5,4539.25,4720,1398.75,605.5,1141.75,966.25,1033.75,1198,1422.25,1539.5,1559,1739.75,1970,1351.5,6
"287",1287.75,1388.75,1737.75,1794.75,1957.75,2163.75,2042.25,2319.25,2753.25,2074.5,843.75,783.25,499.25,916.25,2436.75,3042.75,3009.5,3221,1236.5,570.75,1100,949.75,1059.5,1135,1211.75,1309,1283.75,1377,1713,1239.5,6
"288",1601.75,1867,2629.75,2809,3100,3437.75,3338.75,3848.25,3935.25,2411.5,887,891,489.5,1056.25,3115.25,3791.75,3690.5,3914.5,1520.25,682.75,1009,794.75,770.75,829.5,905.75,959.75,941,1014.5,1313.75,864.25,6
"289",1219.5,1275,1611.25,1664.5,1809,1986.25,1880.25,2132,2191.75,1665.75,846.75,837.5,488.75,1085,3302.5,4091,4061.75,4353,1399.25,619,1132.5,998.5,1105,1208.25,1328.25,1423.25,1385,1467.25,1390.25,1036.25,6
"290",1368.25,1561.25,2128.25,2234.75,2478.75,2752.75,2625,2988.75,3145.75,1880.5,1007.25,1069.25,863.25,1550.75,3115,3643.25,3512,3802,2053.5,1022.75,1129,1033.75,1046,1177,1319.25,1407,1323.25,1431.5,1779.75,1118.25,6
"291",1460.25,1648,2180.5,2288,2532,2816.75,2676,3077.75,3645,2316.75,925,901.5,652.25,1057,2802.5,3577.5,3453.5,3740.5,1878.75,899,1182.25,1120.5,1202,1315.5,1479.75,1575,1466,1599.5,2167.25,1400.25,6
"292",1325.5,1534,1909.5,1957.75,2156.5,2377.5,2206.5,2489,3106,2095,991.75,960.25,723.5,1135.25,2778,3388.75,3282.5,3595.75,1612,824.25,1167.5,1204,1038.5,1518.5,2430.25,2661.5,2537.25,2741.5,2122.25,1151.5,6
"293",1555.75,1846,2480.25,2572.25,2811.75,3094.75,2932.75,3323.5,3692,2345.5,928.5,904,699.25,1060,2594.5,3249.75,3113.25,3371.25,1710,836.75,1219,1234.25,1295,1537,1854.25,1981.5,1867.75,2010.75,2189,1245,6
"294",1612.75,1872,2528.5,2596.75,2846,3167.25,3035.5,3471.5,3934.25,2481.75,919.5,872.5,625.25,1031,2830.5,3777.75,3696.25,4017.25,1755.25,835.75,1432,1478.75,1705,1857.75,2069.5,2204.75,2098.25,2282.25,3065.5,2158,6
"295",1342.25,1496.5,1939.5,2053.5,2307.5,2594.25,2486,2864.5,3598.75,2344.75,987.5,997,677.25,1192.75,3232.75,4018.5,3869.5,4191.5,1798.75,895.75,1170.75,1119.5,1159.5,1374,1783.5,1973.75,1878.5,2042.25,2365.5,1466.5,6
"296",1533.25,1746.5,2330,2424.5,2648.75,2940,2794.75,3216,3815.25,2412,946,927.5,702.75,1121.25,2708.5,3395.25,3278.25,3589.5,1901,961.25,1290,1248,1403,1579.5,1802.25,1919.75,1834.5,1978.75,2599.5,1719.75,6
"297",1603,1852,2552,2706,3009.25,3388.25,3284.25,3791.5,4238,2654.25,936.5,883.5,622.75,1010.5,2816,3653,3539.75,3845,1912.5,959.75,1245.75,1298.75,1334,1667.75,2190.5,2378.5,2240.75,2401.25,2532.5,1437.75,6
"298",1125.5,1227.5,1421.75,1445.25,1591.5,1756,1609,1794.25,2413.25,1546,870.5,794.5,460.75,862.25,3208.25,4640.75,4556.5,4966.5,1465.75,595.25,1140,1081.5,1172,1262.25,1379.25,1463,1343,1415.5,1900.25,1097.5,6
"299",1301.25,1394,1857.25,2011.5,2303.5,2610.75,2552,2977,3544.75,2126.5,963.75,951.75,729.75,1207.75,2845.75,3530.25,3484,3831,2153.25,1069.25,1170.75,1069.5,1150.5,1279,1412.75,1520.25,1465.25,1601.5,2304.75,1543,6
"300",1514.25,1751.5,2346.5,2477,2759.5,3054.5,2923,3348.5,3992.5,2537.25,859,728.25,433.5,761,3087.5,4740.75,4670.75,5140,1415.75,588.25,1198.5,1243,1197,1638,2384.5,2598.5,2465,2660.5,2571.75,1372,6
"301",1646.5,1900,2592.25,2745.5,3034.75,3351.75,3224.5,3734.75,3804.25,2367.5,892,904,481.75,1151.5,3946.75,4770.25,4696,4924.5,1571.5,609,1055,840.5,782.5,967.75,1306.5,1433,1417.75,1545,1816.25,1081,7
"302",1176.25,1202.25,1402.5,1463,1644.5,1821.25,1726.25,1974.5,2309.75,1672.75,1044.5,969.75,1022.75,1122.5,1304.75,1416,1370,1470.5,1864.75,1412.5,1024.75,819.5,759.5,830,914.25,962.5,929.75,1007.5,1131.25,758.25,7
"303",1648,1731.25,1930.25,2015.5,2476.75,2818,2787.25,3229.25,3853,2645.75,1849.25,1901,2032.75,2290.5,2848,3148.25,3288.75,3640.25,4678.25,3459.75,1845,1791.75,1938,2201,2785,3082.25,3266.5,3583.5,4440.75,3177.75,7
"304",1467.5,1644,2231.5,2362.25,2641.5,2922,2785.5,3178.5,3087,2233.75,1435.25,1570,1858.5,2232.75,2954.25,3165.5,3133.75,3330,2697,2070.25,1435,1419.25,1647,1891.25,2264.75,2403.5,2374.75,2543.5,2312,1773,7
"305",1351.25,1476.75,1963.5,2148.5,2513,2810.25,2718.75,3118.25,2984.75,2155,1360.5,1441.25,1794.25,2151,2723.25,3011.25,2994.25,3214.75,2839,2274,1350.25,1317,1574.5,1857.5,2333.25,2582.5,2589,2799.75,2415.5,1817.5,7
"306",1363,1520.75,2282.5,2429,2709.25,2984.5,2837.5,3210.5,3014.25,2437.5,1316.5,1433.5,2067,2376,2759.5,2978,2919.25,3131.5,2776,2410.25,1299.75,1253.75,1663.5,1927.5,2267,2430.75,2419.75,2568.5,2074.25,1676.75,7
"307",1155.5,1226.75,1782.5,1921,2184,2433.5,2312.5,2643.25,2618.75,2049.5,1057.25,1063.75,1368,1690,2110,2292.25,2266.25,2409.75,2200.25,1826.5,1128.25,1019.75,1202.5,1417.5,1763,1886.5,1864.75,2003.75,1698.75,1298,7
"308",1516.5,1593.25,1974.75,2108,2350.75,2616.5,2606.25,3029,3801.5,2459.5,1512.75,1546.5,1546,1972.5,2887.5,3143,3234,3497.75,3299,2283,1618.5,1521,1604.25,1857,2224.5,2406.75,2447.5,2648.25,3189.5,2301,7
"309",1448.75,1595.5,2074.25,2233,2523.5,2834.5,2792,3244.25,4136,2793.5,1401.25,1521.5,1616,2080.75,3131.75,3438.25,3515.5,3792.25,3569.75,2523.25,1584.25,1606,1839.75,2147.25,2628.75,2846.5,2910.25,3153,3994.75,2947.75,7
"310",1432.5,1557.5,1993.5,2121.25,2398.5,2695.5,2676,3127.75,4133,2743.25,1473.5,1556.75,1623,2048.5,2957,3248,3336.25,3613.75,3689.5,2587.5,1426.5,1414,1523.75,1865.75,2439.25,2624.5,2701.5,2939.75,3648.25,2593.5,7
"311",1894.5,2038.5,2366.75,2457.75,2751.75,3002.5,3016,3472.75,4540.75,3290.75,1947.25,2053.25,2201.5,2548,3218.25,3498.75,3621.25,3948,4623.25,3565.5,2444.75,2526.25,2892,3129.25,3555,3802.5,4049,4329.75,5696.75,4537.25,7
"312",1648,1851.5,2339.25,2500.5,2761.5,3055.75,3041,3513,4422.5,3088.5,1625,1771.75,1971.75,2354,3115.75,3446,3497.75,3834,4274.5,3134.5,1862,1954.5,2266.25,2600,3134,3397.5,3542,3856.75,4891,3637.25,7
"313",1769,1810.5,2031.75,2097.25,2299.5,2521.25,2524.25,2887.75,4057.25,2990.25,1970.25,1984.75,2134.75,2336.5,2731.75,2976,3095,3411.5,4513.25,3544.75,2192.75,2183.25,2428.25,2674.75,3042,3263.75,3409.75,3799.75,5168.5,4076.5,7
"314",1631.5,1697.25,1969.75,2086.5,2295.75,2525.25,2512,2900,3903,2828.5,1744,1812.75,1917.75,2297.5,3031.75,3276.5,3376.25,3670,4058.25,3076.5,2093,2149.5,2387,2738.25,3373,3615,3754,4133.25,4965.5,3837.75,7
"315",1597.25,1680.5,1971,2096.75,2342.25,2570.25,2540.5,2915.25,3808.25,2731.75,1616.25,1693.25,1789,2172.5,2822.25,3067.75,3125.25,3381.25,3807.5,2820.25,2044.25,2110,2369.5,2711.5,3286.75,3549.75,3606.5,3947.25,4960,3751.5,7
"316",1500.5,1521.75,1762,1874.5,2141.25,2389.75,2376.5,2758.25,3506,2410.25,1611.75,1576.5,1608.75,1862,2408.5,2635.25,2769.75,2964.75,3454.25,2588,1597.5,1416.25,1466,1609.5,1882.75,2058.25,2152.5,2316.25,2843.75,2031.5,7
"317",1899,2015.75,2375,2457.75,2698.5,2960.25,2934.75,3400.75,4410.5,3043.25,2029.75,2097.25,2215.25,2544.5,3281.5,3545,3695.5,3940,4338.25,3182.5,2291.25,2281,2528.75,2778.25,3269.25,3504.25,3672.25,3965,4711.75,3393.75,7
"318",1949.25,2061.75,2363.25,2429,2646.25,2933.75,2917.25,3402.25,4970.75,3821.25,2050.25,2081,2215.25,2516.75,3029.5,3288.75,3456.75,3731,4986.25,3937.75,2340.75,2339,2625,2870.75,3267.5,3510.25,3741.25,4113.75,5761.5,4584.75,7
"319",1984.25,2163.5,2604.25,2673,2905.75,3208.25,3164.75,3655.5,5129.25,3670.75,2203,2298.25,2475.25,2777.25,3338.5,3637,3779.5,4137,5157.5,3803.25,2447.75,2569.25,2952.5,3301.25,3861.75,4162.5,4316.75,4731.25,6122.25,4486.5,7
"320",1447.75,1528.75,1915.5,2018,2230.25,2499.5,2450.75,2849.75,3635,2531.25,1435.5,1450.5,1489,1793.25,2435,2666.5,2738.5,2946.5,3129.25,2320,1474.25,1357.25,1390.25,1593.5,1978.25,2105.75,2135,2315.5,2612.25,1919.75,7
"321",1758.75,1889.75,2330.75,2458,2707.5,2998.75,3012.5,3524.75,4838.75,3541.25,1763,1811.25,1951.75,2316.25,3001.75,3282.5,3435.25,3735.25,4454,3458.5,2227.5,2264.5,2573.25,2918.75,3400.5,3664,3830,4204.75,5850,4607.25,7
"322",1429.5,1512.25,1928.5,2039.5,2298,2573,2534.75,2950.5,3837,2690.5,1389.25,1436,1447.5,1855.75,2726.5,3012.25,3062.5,3307,3254.75,2344.25,1587.25,1534,1623.75,1928.5,2503.25,2713,2782.5,3043.5,3532,2532,7
"323",1907.5,2062,2398.5,2493,2744.5,3012.5,2983,3480,4868.25,3615.75,2073.25,2196,2432.75,2667.75,3117,3376.5,3532.25,3838,5077.25,4006.25,2326.5,2414.5,2745.25,3044.75,3413.25,3694.25,3855.25,4247.25,5755.75,4484.25,7
"324",1498.5,1597.25,1873.5,2052,2411,2710.25,2703,3134.75,3741.5,2552.75,1481.75,1511.25,1501.75,1831,2515.5,2797,2873.75,3133,3558.5,2626.25,1690.25,1649.75,1730,1997.75,2570.25,2750.5,2902,3182,3727,2740.25,7
"325",1791.25,1886,2162.5,2220,2492.5,2740.25,2744.25,3181.25,4411.5,3262.75,1998,2042,2190.75,2446.5,2936,3147.75,3331,3656.75,4892,3867,2045.25,2026.5,2215.25,2509.25,2984.25,3236.75,3388.5,3767.25,4957,3815.5,7
"326",1647.75,1859,2448,2591.5,2859.75,3151.75,3106.25,3575.25,4316,3088.75,1674.25,1846.5,2123.75,2514,3227,3509,3564.5,3797.5,3981.5,2983,1918,2029.5,2422.25,2771.5,3263.25,3512.75,3599,3881.5,4578,3449,7
"327",1593.75,1720,2120,2223,2468.25,2733.75,2725,3159.5,4312,2976,1520,1585.25,1654,2021,2759.5,3026,3149.5,3387.25,3836.5,2801.75,1899,1930.75,2182.75,2455.5,2922.5,3180.5,3315.5,3630.75,4963.75,3693.5,7
"328",1591.25,1822.5,2506.25,2659,2909.75,3218.25,3153,3591.5,4142.75,3031.25,1595.25,1782.25,2059.25,2540,3381,3665,3703.75,3958.75,3892.25,2924.75,1966,2166.25,2648,3120.5,3809.75,4079,4157.25,4442.25,4779.5,3636,7
"329",1557.75,1763.5,2232,2392.75,2657.75,2940,2861.5,3274.25,4018.5,2852,1534.5,1643.25,1846.5,2187.25,2854.25,3130.25,3207,3487.75,4000,2942.75,1844.25,1984.5,2368.5,2750,3305.75,3633.25,3694.5,4037.75,4811.5,3465,7
"330",1555.75,1770.25,2394.25,2550.75,2809.75,3100.75,3068.75,3531.75,4182.25,2980.75,1612.25,1790.5,2122,2478.75,3236.25,3504,3554.25,3797.25,3927.25,2976.25,1907.5,2037.25,2458.5,2856,3449.75,3710.25,3783,4037,4662.75,3494.25,7
"331",1610.25,1788.5,2308,2445.5,2729.75,3059.5,3014.5,3467,4146.25,2908.75,1579.5,1693.25,1828.75,2255,3098.5,3427,3505,3804.25,3911.5,2890.5,1803.5,1850.75,2070.75,2473,3139.75,3370.25,3505,3772.75,4143.5,3052,7
"332",1485.75,1645.5,2128.5,2247.5,2443.25,2696.25,2644,3033,3812,2683.25,1564.25,1703,1965.5,2289.75,2918,3151.75,3184.75,3416.75,3691.25,2734.5,1738.25,1788,2087.5,2358.25,2732,2914.25,2973.5,3191.25,3808.25,2795.25,7
"333",1675.75,1803.5,2128.25,2290.75,2629.5,2888,2854.25,3249.25,3966.75,2803.75,1767.5,1819.75,2082.5,2350.5,2840,3062,3139.5,3341.5,3875.75,2871.75,1927,1972.75,2196.5,2663.75,3315.25,3603.5,3754.25,4064.5,4432.5,3086.25,7
"334",1326,1377.75,1542.5,1707.75,2046.5,2244.5,2176.5,2466.25,2650,1922.5,1401.5,1340.5,1413.25,1594.5,1896,2012.25,2064.25,2193.5,2632.5,2167.75,1290.25,1128.5,1152.25,1306,1558.75,1681,1711.5,1814.25,1966,1526,7
"335",1333.75,1363.75,1486.75,1641.5,2024.5,2238.25,2178.25,2471.25,2359.75,1676.25,1422.5,1365.25,1434,1606,1881.25,1983.25,2008.5,2128.75,2360,1905,1532.5,1413,1503,1699.75,1967.25,2120,2181.25,2283.5,2429.5,1914.75,7
"336",1499.5,1627.5,1962.25,2118.75,2449.25,2708.5,2656.5,3027.75,3242,2288.75,1690.75,1736.75,1853.5,2135.25,2700.5,2914,2939.5,3169.25,3310.5,2610.25,1862.25,1905.5,2159.75,2489.5,2983.5,3193.75,3249,3506,4065.25,3221,7
"337",1116.75,1118.75,1212.5,1354,1661.25,1830,1774.75,1990,1943.5,1328.25,1102.5,1027.75,1026,1201,1475.25,1578,1588.25,1699.25,1786.75,1363.5,2207.5,1792,1641.75,1672.25,1779.25,1684.75,1620.25,1622,260.5,179.75,7
"338",1121.25,1062,1107.5,1195.25,1456.25,1590.25,1550.75,1766.5,1766.75,1273.25,1131.75,1019.5,1015.25,1134.75,1319,1400.25,1410,1489,1618.75,1299.25,849.75,520.25,323.75,302.5,322,302,275.75,278.75,174.25,133.5,7
"339",1442.25,1479.25,1583,1709.25,2015.5,2218.25,2169,2450,2561.25,1948.5,1521.25,1445,1478,1665.5,1954.75,2091.25,2127,2293.25,2561.5,2128.75,1646,1515.25,1566.5,1729.25,2023,2154.75,2226.75,2355.75,2669.5,2228.5,7
"340",1335.25,1346.25,1478.75,1591.5,1821,1995.75,1943,2193.75,2372.5,1806.75,1369.5,1270.5,1309.5,1447.75,1671.5,1796.25,1821,1938.5,2191.25,1827.5,2250.75,2040.5,2116.25,2254.75,2400.75,2454.75,2337.5,2499.25,1307.75,1094.5,7
"341",1392.75,1474.5,1747.5,1869.75,2179.5,2426,2354.75,2665.75,2990.75,2188.75,1550.75,1542,1666.5,1889.5,2256.75,2420,2456,2586,3048,2470.75,1491.75,1380.75,1463.5,1682.5,2011.25,2149.75,2208,2379.5,2538.5,1947.25,7
"342",1059,1093,1136.75,1322.75,1894.5,2176,2105.25,2372.5,1923.5,1317.75,1015.75,969.5,930,1175,1733.5,1924,1939.75,2075.5,1717.5,1228,1143.25,864,683.75,764.5,1137,1226.75,1231,1311.75,479.75,324.25,7
"343",1553.75,1627.25,1897.5,1957.75,2170.75,2359.5,2260,2513.25,2522.25,1923.75,1645.5,1653.5,1772.25,1993.5,2404.25,2554,2538,2671.75,2428.5,1944.25,1955,1925.75,2171,2341,2563.5,2652.75,2679,2765.5,2831.75,2336.5,7
