"","BlueV","GreenV","RedV","RedEdge1V","RedEdge2V","RedEdge3V","NIRV","NIR2V","SWIR1V","SWIR2V","BlueP","GreenP","RedP","RedEdge1P","RedEdge2P","RedEdge3P","NIRP","NIR2P","SWIR1P","SWIR2P","BlueO","GreenO","RedO","RedEdge1O","RedEdge2O","RedEdge3O","NIRO","NIR2O","SWIR1O","SWIR2O","Class_Id"
"165",869.25,811.25,618.25,882,1502.25,1696.5,1592.25,1805.25,1114.25,597.75,812.5,650.25,458,663.75,1329.25,1494.75,1545,1620,1020,573,841.75,564.5,332.75,425.25,767.25,850.75,775.5,869.25,343,182,4
"166",856.75,800.25,607,861.75,1467,1675.25,1593.25,1798.75,992.75,501.75,775.5,612.25,420.5,621.25,1312,1528.25,1528,1647,825,438.75,824.25,544,312.75,393.75,677,741,718.25,779.5,248.75,131,4
"167",829.5,736,549.5,760,1479.5,1745,1680.25,1894,792,385,772.5,588.5,391.5,546,1376.75,1661,1674.75,1783.75,680.5,348.25,824,546.5,316,401.25,929.5,1070.5,1031.5,1066.25,273.75,136,4
"168",889.5,838.25,669.5,943,1610.5,1853.25,1782.5,2041.75,1250.25,653.25,820.25,687.75,499.5,769.75,1572.75,1798.5,1878.25,2011.75,1154.5,634.75,894,690.5,442.5,686.75,1396.25,1549,1580.75,1670.75,784,407,4
"169",875,847.25,624,934.75,1634,1862.25,1775,2017.75,1143.25,581.75,805.75,658.25,451.5,684.25,1493.5,1704.5,1728.75,1855.5,1045.25,551,882,674,414,646.5,1323.75,1468.5,1470,1565.75,666.75,337.75,4
"170",825,746.75,539.25,767.75,1437.75,1672.5,1589.25,1769.5,839.5,415.5,757.25,601.75,391.25,603.25,1320.5,1531.75,1519.5,1669.25,737.75,387.5,813.25,544.5,306.75,394.5,774.25,830.75,838.5,848,263,120,4
"171",818,698.5,523.75,709.25,1299,1528.25,1453.25,1661.25,797.25,402.25,768.5,581.75,389,572,1240.5,1438.75,1453.75,1562.75,714.75,367.75,806.5,517,296.25,350.5,609,686.75,637.75,720.25,214.25,98.25,4
"172",829,758.25,551.25,807.25,1549.75,1805.25,1709.5,1951,865,433.75,773,615.25,417.5,622.25,1466.25,1694.5,1722.25,1832.25,816,429,824.5,566.75,331,442.5,1024.25,1162.75,1132,1170.5,331.5,158,4
"173",887.5,858,624.25,928.25,1607.25,1799.5,1732.75,1969.5,1120.5,578.75,812.75,658.25,451.75,673.75,1435.25,1639.75,1669,1794,1005.25,552,881.75,652.5,393,597,1234.75,1321,1301,1383.25,604.75,296.25,4
"174",831,743,552.25,751.25,1332,1521.75,1447.25,1647.5,906.75,464.5,754,565.75,367.25,542.5,1168.5,1358.5,1346.75,1442.5,697.5,353.5,795.5,477,264.25,251.25,349.25,354.25,310.5,317.5,111,57,4
